company_name,ratings,reviews,Industry,locations,highly_rated_aspects,critically_rated_aspects
TCS,3.3,1.1L,IT Services & Consulting,Bangalore / Bengaluru +439 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.7,71.2k,IT Services & Consulting,Bangalore / Bengaluru +255 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Wipro,3.6,63.5k,IT Services & Consulting,Hyderabad / Secunderabad +370 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cognizant,3.6,59.8k,IT Services & Consulting,Hyderabad / Secunderabad +229 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,3.7,51.4k,IT Services & Consulting,Bangalore / Bengaluru +183 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.8,50.5k,Banking,Mumbai +1822 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Infosys,3.5,47.2k,IT Services & Consulting,Bangalore / Bengaluru +246 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,45.1k,Banking,Mumbai +1437 other locations,"Job Security, Promotions / Appraisal, Skill Development / Learning",
HCLTech,3.4,44.4k,IT Services & Consulting,Chennai +226 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.4,42.4k,IT Services & Consulting,Hyderabad / Secunderabad +331 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.6,40.8k,IT Services & Consulting,Hyderabad / Secunderabad +182 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Teleperformance,3.8,36.5k,BPO,Mumbai +254 other locations,,Promotions / Appraisal
Axis Bank,3.6,32.3k,Banking,Mumbai +1501 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Jio,4.4,32.3k,Telecom,Mumbai +1899 other locations,"Job Security, Company Culture, Work Life Balance",
Concentrix Corporation,3.6,31.5k,BPO,Bangalore / Bengaluru +177 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amazon,3.9,30.6k,Internet,Bangalore / Bengaluru +516 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
iEnergizer,4.6,27.1k,BPO,Noida +51 other locations,"Company Culture, Work Life Balance, Job Security",
Reliance Retail,3.9,26.9k,Retail,Mumbai +1154 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
LTIMindtree,3.6,25.8k,IT Services & Consulting,Bangalore / Bengaluru +146 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IBM,3.9,25.3k,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HDB Financial Services,3.9,25.1k,NBFC,Mumbai +1091 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Larsen & Toubro Limited,3.9,23.2k,Engineering & Construction,Chennai +756 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Deloitte,3.7,22.3k,Management Consulting,Hyderabad / Secunderabad +187 other locations,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Kotak Mahindra Bank,3.6,21.9k,Banking,Mumbai +682 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Reliance Industries,4.0,19.7k,Oil & Gas,Jamnagar +814 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Vodafone Idea,3.9,17.5k,Telecom,Pune +705 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Bharti Airtel,3.8,16.8k,Telecom,Gurgaon / Gurugram +790 other locations,,Promotions / Appraisal
BYJU'S,3.2,16.5k,EdTech,Bangalore / Bengaluru +321 other locations,,"Job Security, Work Life Balance, Company Culture"
WNS,3.3,14.8k,IT Services & Consulting,Pune +65 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
IDFC FIRST Bank,3.9,14k,Banking,Mumbai +713 other locations,"Salary & Benefits, Skill Development / Learning",
Tata Motors,4.1,14k,Automobile,Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Ernst & Young,3.4,13.9k,Management Consulting,Bangalore / Bengaluru +132 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
IndusInd Bank,3.4,13.9k,Banking,Mumbai +788 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
AU Small Finance Bank,3.9,13.8k,Banking,Jaipur +783 other locations,"Skill Development / Learning, Salary & Benefits",
Bajaj Finserv,3.9,12.6k,NBFC,Pune +1164 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
Flipkart,3.9,12.6k,Internet,Bangalore / Bengaluru +558 other locations,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Muthoot FinCorp,4.5,12.1k,NBFC,Bangalore / Bengaluru +1092 other locations,"Company Culture, Work Life Balance, Job Security",
PwC,3.3,12k,Management Consulting,Bangalore / Bengaluru +132 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Mahindra & Mahindra,4.0,11.8k,Automobile,Pune +561 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
DXC Technology,3.6,11.8k,IT Services & Consulting,Bangalore / Bengaluru +133 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Infosys BPM,3.5,11.8k,BPO,Bangalore / Bengaluru +95 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDFC Life,3.9,11.7k,Insurance,Mumbai +699 other locations,"Job Security, Skill Development / Learning",
Bandhan Bank,3.7,10.7k,Banking,Kolkata +994 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Conneqt Business Solutions,3.6,10.1k,BPO,Hyderabad / Secunderabad +266 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,3.3,10k,IT Services & Consulting,Bangalore / Bengaluru +63 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,3.7,9.9k,Banking,Mumbai +540 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Tata Steel,4.0,9.7k,Iron & Steel,Jamshedpur +229 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Quess,3.8,9.5k,Recruitment,Bangalore / Bengaluru +741 other locations,,"Promotions / Appraisal, Job Security"
Maruti Suzuki,4.2,9.3k,Automobile,Gurgaon / Gurugram +451 other locations,"Job Security, Salary & Benefits, Company Culture",
Startek,3.1,9.3k,BPO,Bangalore / Bengaluru +105 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Asian Paints,3.9,9.3k,Chemicals,Mumbai +548 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
UltraTech Cement,4.1,9.2k,Building Material,Mumbai +535 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Paytm,3.2,9.1k,FinTech,Noida +418 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Shriram Finance,3.9,9k,NBFC,Chennai +1111 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Bajaj Finance,3.9,8.9k,NBFC,Pune +970 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
Equitas Small Finance Bank,4.4,8.7k,Banking,Chennai +479 other locations,"Company Culture, Work Life Balance, Job Security",
Sutherland Global Services,3.4,8.7k,BPO,Chennai +82 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EXL Service,3.6,8.4k,Analytics & KPO,Noida +62 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Cipla,4.1,8.4k,Pharma,Mumbai +292 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Ericsson,4.0,8.3k,Telecom,Noida +162 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Samsung,3.9,8.3k,Consumer Electronics & Appliances,Noida +579 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
Wells Fargo,3.7,8.2k,Financial Services,Bangalore / Bengaluru +27 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Dr. Reddy's,4.0,8.1k,Pharma,Hyderabad / Secunderabad +214 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Optum Global Solutions,4.0,7.8k,IT Services & Consulting,Hyderabad / Secunderabad +68 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Delhivery,3.8,7.6k,Logistics,Gurgaon / Gurugram +753 other locations,,Promotions / Appraisal
ICICI Prudential Life Insurance,4.0,7.6k,Insurance,Mumbai +505 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
JSW Steel,3.9,7.6k,Iron & Steel,Ballari +193 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
JPMorgan Chase & Co.,3.8,7.6k,Financial Services,Bangalore / Bengaluru +55 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
HGS,3.7,7.6k,BPO,Bangalore / Bengaluru +121 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Jana Small Finance Bank,3.8,7.5k,Banking,Bangalore / Bengaluru +419 other locations,Salary & Benefits,Promotions / Appraisal
Ujjivan Small Finance Bank,4.0,7.5k,Banking,Bangalore / Bengaluru +533 other locations,"Company Culture, Work Life Balance, Job Security",
Sun Pharmaceutical Industries,4.1,7.5k,Pharma,Vadodara +265 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
